"","Var1","Var2","Var3","Freq"
"1246","6","5","11",0
"1247","7","5","11",0
"1248","8","5","11",0
"1249","9","5","11",0
"1250","10","5","11",0
"1251","1","6","11",0
"1252","2","6","11",0
"1253","3","6","11",0
"1254","4","6","11",0
"1255","5","6","11",0
"1256","6","6","11",0
"1257","7","6","11",0
"1258","8","6","11",0
"1259","9","6","11",0
"1260","10","6","11",0
"1261","1","7","11",0
"1262","2","7","11",0
"1263","3","7","11",0
"1264","4","7","11",0
"1265","5","7","11",0
"1266","6","7","11",0
"1267","7","7","11",0
"1268","8","7","11",0
"1269","9","7","11",0
"1270","10","7","11",0
"1271","1","8","11",0
"1272","2","8","11",0
"1273","3","8","11",0
"1274","4","8","11",0
"1275","5","8","11",0
"1276","6","8","11",0
"1277","7","8","11",0
"1278","8","8","11",0
"1279","9","8","11",0
"1280","10","8","11",0
"1281","1","9","11",0
"1282","2","9","11",0
"1283","3","9","11",0
"1284","4","9","11",0
"1285","5","9","11",0
"1286","6","9","11",0
"1287","7","9","11",0
"1288","8","9","11",0
"1289","9","9","11",0
"1290","10","9","11",0
"1291","1","10","11",0
"1292","2","10","11",0
"1293","3","10","11",0
"1294","4","10","11",0
"1295","5","10","11",0
"1296","6","10","11",0
"1297","7","10","11",0
"1298","8","10","11",0
"1299","9","10","11",1
"1300","10","10","11",2
"1301","1","11","11",0
"1302","2","11","11",0
"1303","3","11","11",0
"1304","4","11","11",0
"1305","5","11","11",0
"1306","6","11","11",0
"1307","7","11","11",0
"1308","8","11","11",0
"1309","9","11","11",4135
"1310","10","11","11",975
"1311","1","12","11",0
"1312","2","12","11",0
"1313","3","12","11",0
"1314","4","12","11",0
"1315","5","12","11",0
"1316","6","12","11",0
"1317","7","12","11",0
"1318","8","12","11",0
"1319","9","12","11",975
"1320","10","12","11",358
"1321","1","1","12",0
"1322","2","1","12",0
"1323","3","1","12",0
"1324","4","1","12",0
"1325","5","1","12",0
"1326","6","1","12",0
"1327","7","1","12",0
"1328","8","1","12",0
"1329","9","1","12",0
"1330","10","1","12",0
"1331","1","2","12",0
"1332","2","2","12",0
"1333","3","2","12",0
"1334","4","2","12",0
"1335","5","2","12",0
"1336","6","2","12",0
"1337","7","2","12",0
"1338","8","2","12",0
"1339","9","2","12",0
"1340","10","2","12",0
"1341","1","3","12",0
"1342","2","3","12",0
"1343","3","3","12",0
"1344","4","3","12",0
"1345","5","3","12",0
"1346","6","3","12",0
"1347","7","3","12",0
"1348","8","3","12",0
"1349","9","3","12",0
"1350","10","3","12",0
"1351","1","4","12",0
"1352","2","4","12",0
"1353","3","4","12",0
"1354","4","4","12",0
"1355","5","4","12",0
"1356","6","4","12",0
"1357","7","4","12",0
"1358","8","4","12",0
"1359","9","4","12",0
"1360","10","4","12",0
"1361","1","5","12",0
"1362","2","5","12",0
"1363","3","5","12",0
"1364","4","5","12",0
"1365","5","5","12",0
"1366","6","5","12",0
"1367","7","5","12",0
"1368","8","5","12",0
"1369","9","5","12",0
"1370","10","5","12",0
"1371","1","6","12",0
"1372","2","6","12",0
"1373","3","6","12",0
"1374","4","6","12",0
"1375","5","6","12",0
"1376","6","6","12",0
"1377","7","6","12",0
"1378","8","6","12",0
"1379","9","6","12",0
"1380","10","6","12",0
"1381","1","7","12",0
"1382","2","7","12",0
"1383","3","7","12",0
"1384","4","7","12",0
"1385","5","7","12",0
"1386","6","7","12",0
"1387","7","7","12",0
"1388","8","7","12",0
"1389","9","7","12",0
"1390","10","7","12",0
"1391","1","8","12",0
"1392","2","8","12",0
"1393","3","8","12",0
"1394","4","8","12",0
"1395","5","8","12",0
"1396","6","8","12",0
"1397","7","8","12",0
"1398","8","8","12",0
"1399","9","8","12",0
"1400","10","8","12",0
"1401","1","9","12",0
"1402","2","9","12",0
"1403","3","9","12",0
"1404","4","9","12",0
"1405","5","9","12",0
"1406","6","9","12",0
"1407","7","9","12",0
"1408","8","9","12",0
"1409","9","9","12",0
"1410","10","9","12",0
"1411","1","10","12",0
"1412","2","10","12",0
"1413","3","10","12",0
"1414","4","10","12",0
"1415","5","10","12",0
"1416","6","10","12",0
"1417","7","10","12",0
"1418","8","10","12",0
"1419","9","10","12",1
"1420","10","10","12",0
"1421","1","11","12",0
"1422","2","11","12",0
"1423","3","11","12",0
"1424","4","11","12",0
"1425","5","11","12",0
"1426","6","11","12",0
"1427","7","11","12",0
"1428","8","11","12",0
"1429","9","11","12",691
"1430","10","11","12",151
"1431","1","12","12",0
"1432","2","12","12",0
"1433","3","12","12",0
"1434","4","12","12",0
"1435","5","12","12",0
"1436","6","12","12",0
"1437","7","12","12",0
"1438","8","12","12",0
"1439","9","12","12",340
"1440","10","12","12",25125
